id,numTrees,currentLeaf,currDepth,Val_score,Train_score
562.0,51.0,12.0,11.0,0.985,0.987
563.0,51.0,12.0,21.0,0.985,0.987
564.0,51.0,12.0,31.0,0.985,0.987
565.0,51.0,12.0,41.0,0.985,0.987
566.0,51.0,12.0,51.0,0.985,0.987
567.0,51.0,12.0,61.0,0.985,0.987
568.0,51.0,12.0,71.0,0.985,0.987
569.0,51.0,12.0,81.0,0.985,0.987
570.0,51.0,12.0,91.0,0.985,0.987
571.0,51.0,22.0,1.0,0.943,0.928
572.0,51.0,22.0,11.0,0.988,0.991
573.0,51.0,22.0,21.0,0.988,0.991
574.0,51.0,22.0,31.0,0.988,0.991
575.0,51.0,22.0,41.0,0.988,0.991
576.0,51.0,22.0,51.0,0.988,0.991
